"autonomous_system_number";"autonomous_system_organization"
2596;"CSP s.c. a r.l."
2597;"Registro del ccTLD it - IIT-CNR"
2598;"Consiglio Nazionale delle Ricerche"
2600;"Tekstil Bankasi A.s."
2601;"Radio-Link LLC"
2602;"Fondation RESTENA"
2603;"NORDUnet"
2606;"Wifiber.es SL"
2607;"Zdruzenie pouzivatelov Slovenskej akademickej datovej siete"
2609;"Tunisia BackBone AS"
2611;"BELNET"
2612;"SITASYS AG"
2613;"Willem van Gulik"
2614;"Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare"
2615;"Bechtel Corporation"
2621;"DoD Network Information Center"
2629;"DoD Network Information Center"
2631;"Discovery Communications"
2634;"Cellco Partnership DBA Verizon Wireless"
2635;"Automattic, Inc"
2637;"Georgia Institute of Technology"
2638;"CENTRO DE ADMINISTRACION NIC."
2639;"ZOHO"
2640;"Ames Laboratory"
2641;"The Scripps Research Institute"
2642;"State of California"
2643;"AS"
2646;"Conexant"
2647;"Societe Internationale de Telecommunications Aeronautiques"
2648;"NIST/U.S. Dept. of Commerce"
2650;"EOP_GATEKEEPER - Executive Office Of The President"
2653;"Shared Services Canada"
2665;"Shared Services Canada"
2675;"Shared Services Canada"
2680;"Shared Services Canada"
2682;"Shared Services Canada"
2683;"RADIO-FSU/RADIO-MSU NETWORK Ltd"
2685;"AT&T Global Network Services, LLC"
2686;"AT&T Global Network Services, LLC"
2687;"AT&T Global Network Services, LLC"
2688;"AT&T Global Network Services, LLC"
2695;"RJ Reynolds Tobacco Company"
2697;"Education and Research Network"
2698;"Iowa State University"
2700;"FileMaker, Inc."
2701;"Kansas State University"
2703;"Data-Prompt, Inc."
2705;"BJC HEALTH SYSTEM"
2706;"WTT HK Limited"
2707;"First Communications LLC"
2708;"Universidad de Guanajuato"
2710;"CGI Group Inc."
2711;"Spirit Communications"
2712;"Landmark Graphics Corporation"
2714;"General Services Administration"
2715;"Fundação Carlos Chagas Filho de Amparo a Pesquisa"
2716;"Universidade Federal do Rio Grande do Sul"
2717;"Cummins Engine Co. Inc."
2721;"CULR, LLC"
2722;"CULR, LLC"
2723;"ENDURANCE REINSURANCE CORPORATION OF AMERICA"
2726;"Webformix Company"
2727;"Electric Plant Board of the City of Glasgow, Kentucky"
2728;"VERUS Connect"
2729;"Topica, Inc."
2730;"WINKY NETWORKS LLC"
2731;"Horizon Telcom Inc."
2732;"Valliant Telephone Co INC"
2734;"CoreSite"
2735;"Eastern Irrigation District"
2738;"Shields Health Care Group"
2749;"Navy Network Information Center (NNIC)"
2754;"El Paso Natural Gas Company"
2756;"Ernst & Young"
2762;"ADIFY CORPORATION"
2763;"Computer Systems Integration"
2764;"AAPT Limited"
2768;"The County of Erie"
2769;"State of Nebraska - Office of the Chief Information Officer"
2792;"Deutsche Telekom AG"
2799;"Polismyndigheten"
2818;"BBC"
2821;"MAXNET sp. z o.o."
2823;"Bankers Trust"
2824;"Deutsche Bank"
2827;"Kelsey Hayes Corporation"
2828;"MCI Communications Services, Inc. d/b/a Verizon Business"
2830;"Verizon Nederland B.V."
2831;"Lulea Tekniska Universitet"
2832;"SUNET/NORDUnet"
2833;"Umea University"
2837;"Karolinska Institutet"
2838;"Stockholm University"
2839;"Kungliga Tekniska Hogskolan"
2840;"Stiftelsen Goteborgs Studentbostader"
2841;"Chalmers University of Technology"
2842;"Goteborgs universitet"
2843;"Linkopings universitet"
2846;"Lund University"
2847;"Kauno technologijos universitetas"
2848;"Federal State Educational Institution of Higher Professional Education M.V.Lomonosov Moscow S"
2850;"University College Dublin"
2852;"CESNET z.s.p.o."
2854;"LLC Equant"
2856;"British Telecommunications PLC"
2857;"Johannes Gutenberg-Universitaet Mainz"
2859;"Resilans AB"
2860;"Nos Comunicacoes, S.A."
2861;"Udo Steinegger"
2863;"Centor AB"
2864;"PE Raniuk Mikola Bogdanovich"
2865;"EVRY Sweden AB"
2872;"Netcity Bilisim Teknolojileri Yazilim Internet ve Iletisim Hizmetleri Sanayi ve Ticaret Anoni"
2875;"Joint Institute for Nuclear Research"
2876;"Gheorghiu Enterprises OU"
2877;"Latvian Shipping Company JSC"
2894;"California Department of Water Resources"
2895;"OOO FREEnet Group"
2896;"Angel.Com Incorporated"
2897;"Georgia Technology Authority"
2900;"Arizona Tri University Network"
2901;"Oso Grande Technologies, Inc."
2902;"University of Wyoming"
2903;"Madison-Oneida BOCES"
2904;"Universidad Autonoma De Ciudad Juarez"
2905;"TICSA-ASN"
2906;"Netflix Streaming Services Inc."
2907;"Research Organization of Information and Systems, National Institute of Informatics"
2912;"Citicorp"
2914;"NTT America, Inc."
2920;"Los Angeles County Office of Education"
2923;"TIAA-CREF"
2924;"Equifax, Inc."
2928;"Burlington Coat Factory Warehouse"
2933;"Real/Time Communications"
2936;"National Energy Research Scientific Computing Center"
2939;"State of South Carolina"
2941;"OnePartner, LLC"
3043;"Amphibian Media Corporation"
3058;"Federal State Institution Federal Scientific Research Institute for System Analysis of the Ru"
3061;"ProvDotNet LLC"
3064;"Affinity Internet, Inc"
3067;"DENINF-IPLAN"
3073;"Citicorp"
3081;"Citicorp"
3083;"Credit-suisse-group"
3084;"Credit-suisse-group"
3087;"Credit-suisse-group"
3095;"Credit-suisse-group"
3096;"Credit-suisse-group"
3097;"Credit-suisse-group"
3104;"Credit-suisse-group"
3107;"Credit-suisse-group"
3108;"Credit-suisse-group"
3112;"OARnet"
3118;"Envision EMI, LLC"
3128;"University of Wisconsin System"
3130;"RGnet, LLC"
3131;"Tele-Media Solutions"
3132;"Red Cientifica Peruana"
3134;"U.S. Agency for International Development"
3136;"State of WI Dept. of Administration"
3140;"The Thomas Jefferson High School for Science and Tech."
3141;"Benemerita Universidad Autonoma de Puebla"
3142;"The Dorsai Embassy"
3144;"Pinnacle On-Line"
3145;"West Publishing Corporation"
3147;"U.S. BANCORP"
3152;"Fermi National Accelerator Laboratory (Fermilab)"
3161;"IT PROFI s.r.o."
3163;"DiemVESTOR GmbH"
3164;"IPv4 Management SRL"
3165;"Przedsiebiorstwo Telekomunikacyjne LANET sp. z o.o."
3166;"Orebro Kommun"
3167;"Group of Company INFOPRO Ltd."
3168;"PE Dityatev Sergey Yurievich"
3169;"Jacek Pasek BRK Network Devices"
3173;"Stanleyworks (Europe)GmbH"
3175;"Filanco, ltd."
3176;"Banque Du Liban"
3177;"Visparad Web Hosting Service LLC"
3178;"FastLine For Communication And Information Technology Ltd"
3180;"Smart Media Systems Ltd."
3181;"CJSC Matrix Mobile"
3182;"Ekspertno analiticheskoe buerau Kontakt Ltd."
3185;"Paylogic Holding B.V."
3186;"Interscholz Inc."
3187;"BNP Paribas Personal Finance EAD"
3188;"Alastyr Telekomunikasyon A.S."
3190;"3-S-IT Dienstleistungen GmbH"
3191;"Federal State Unitary Enterprise CentrInform"
3194;"SatGate Company for Trading of Computers Systems and Communications Appliances WLL"
3196;"Gheorghiu Enterprises OU"
3200;"Navicon group Ltd."
3201;"Umdasch AG"
3202;"TOV Digital Screens"
3203;"PTO Videokanal, Ltd."
3204;"SviazPartner Ltd."
3206;"AF Blakemore & Son Ltd"
3208;"ARN"
3209;"Vodafone GmbH"
3210;"Secure Data Systems SRL"
3211;"Vodafone GmbH"
3212;"Telemach UG d.o.o."
3213;"Bogons Ltd"
3214;"Jack Sephton"
3215;"Orange"
3216;"PVimpelCom"
3217;"Ultramarine JSC"
3218;"Space Research Institute of Russian Academy of Sciences"
3219;"Ministry of Local Government and Regional Development"
3221;"Hariduse Infotehnoloogia Sihtasutus"
3222;"Cinia Group Oy"
3223;"Voxility S.R.L."
3224;"Kungliga Tekniska Hogskolan"
3225;"Gulfnet Kuwait"
3226;"OOO NI"
3227;"Live in Sky Ltd"
3228;"Tiscali SpA"
3229;"ISS Ltd."
3233;"Institutul National de Cercetare-Dezvoltare in informatica - ICI Bucuresti"
3238;"Alands Telekommunikation Ab"
3240;"Styrelsen for it og laering"
3241;"Elektronikas un Datorzinatnu Instituts"
3242;"ITnet S.r.l."
3243;"Servicos De Comunicacoes E Multimedia S.A."
3244;"3c. Kft."
3245;"Digital Systems Ltd"
3246;"Tele2 SWIPnet"
3247;"INS GmbH"
3249;"Telia Eesti AS"
3250;"Netskin GmbH"
3252;"Fiberax Networking&Cloud Ltd."
3253;"PVimpelCom"
3254;"Lucky Net Ltd"
3255;"State Enterprise Scientific and Telecommunication Centre Ukrainian Academic and Research Netw"
3257;"GTT Communications Inc."
3259;"Docapost Bpo SAS"
3260;"Intracom S.A. Telecom Solutions"
3261;"LLC fticom"
3262;"SAREnet, S.A."
3263;"Erfan Net Fars Internet and Support Services Company PJSC"
3264;"American University in Bulgaria"
3265;"Xs4all Internet BV"
3266;"Joao Carlos de Almeida Silveira trading as Bitcanal"
3267;"State Institute of Information Technologies and Telecommunications (SIIT&T Informika)"
3268;"University of Cyprus"
3269;"Telecom Italia"
3272;"Fujitsu Services A/S"
3274;"Cygate Oy"
3275;"Cineca Consorzio Interuniversitario"
3277;"NPO RUSnet"
3278;"SEW-EURODRIVE GmbH & Co KG"
3279;"PE Galamay Andrey Anatolyevich"
3280;"HETNiX SRL"
3281;"2CLOUD"
3283;"JSC RNIC in Tambov oblast"
3284;"ServiceCloud Ltd."
3287;"Innotek Joint Stock Company"
3288;"Mofet Institute"
3289;"Midocar Srl"
3290;"Wifast Sarl"
3292;"Tele Danmark"
3295;"Societe Generale S.A."
3296;"Societe Generale S.A."
3297;"Societe Generale S.A."
3298;"Societe Generale S.A."
3300;"British Telecommunications plc"
3301;"Telia Company AB"
3302;"Infracom Italia S.p.A."
3303;"Swisscom (Switzerland) Ltd"
3304;"Scarlet Belgium NV"
3306;"MTG Radio AB"
3307;"Broadnet AS"
3308;"Telia Company AB"
3311;"Tamkeen Technologies LLC"
3312;"IT Energy Service"
3313;"BT Italia S.p.A."
3314;"MTA Wigner Fizikai Kutatokozpont"
3316;"Association of scientific and educational organizations-computer networks users RELARN"
3319;"Association of users of Ukrainian Research & Academic Network URAN"
3320;"Deutsche Telekom AG"
3321;"Syniverse Technologies Aps"
3323;"National Technical University of Athens"
3324;"Fujitsu Technology Solutions, S.A."
3325;"Kazan University"
3326;"Private Joint Stock Company datagroup"
3327;"CITIC Telecom CPC Netherlands B.V."
3328;"TE-AS"
3329;"Vodafone-panafon Hellenic Telecommunications Company SA"
3330;"eww ag"
3331;"OpenXS GmbH"
3332;"Swedbank AS"
3333;"Reseaux IP Europeens Network Coordination Centre (RIPE NCC)"
3335;"Federal State Educational Institution of Higher Professional Education Novosibirsk State Univ"
3337;"Komatsu Germany GmbH"
3339;"Tele Elda SA"
3342;"Teracom A/S"
3344;"Burstfire Networks Ltd"
3347;"SIX Payment Services (Europe) S.A."
3348;"Wifinity Global Network, S.l."
3351;"Ioffe Physical-Technical Institute of the Russian Academy of Sciences"
3352;"Telefonica De Espana"
3354;"University of Texas System"
3356;"Level 3 Parent, LLC"
3359;"University of Alberta"
3361;"Digital Fortress, Inc."
3363;"Hong Kong University of Science and Technology"
3364;"Computer Systems Design Company"
3365;"Seesip Inc."
3366;"a2i communications"
3367;"F6 Networks Inc"
3369;"MCI"
3371;"MCI"
3372;"MCI"
3373;"MCI"
3374;"MCI"
3375;"MCI"
3376;"MCI"
3377;"MCI"
3378;"MCI"
3379;"Kaiser Foundation Health Plan"
3380;"Princeton Plasma Physics Laboratory"
3382;"University of Indonesia"
3384;"Center for Educational Leadership and Technology"
3385;"Broadview Networks, Inc."
3388;"University of New Mexico"
3389;"Ford Motor Company"
3390;"University of Missouri - Kansas City"
3392;"GANNETT MEDIA TECHNOLOGIES INTERNATIONAL"
3393;"National Default Exchange Holdings, LP"
3397;"Xplornet Communications Inc."
3401;"City of Seattle, Dept. of Admin. Services"
3409;"Callvox"
3410;"Cornell College"
3411;"St. Michael's Hospital"
3412;"Credit-suisse-group"
3421;"AT&T Internet Services"
3422;"AT&T Internet Services"
3423;"AT&T Internet Services"
3424;"National Nuclear Security Administration, Kansas City Plant"
3425;"ESnet"
3428;"ESnet"
3431;"ESnet"
3443;"ESnet"
3445;"ESnet"
3446;"State of Kansas"
3447;"Embarq Corporation"
3449;"Universidad Nacional de Buenos Aires"
3450;"University of Tennessee, Knoxville"
3452;"University of Alabama at Birmingham"
3454;"Universidad Autonoma de Nuevo Leon"
3455;"Liberty Mutual Group"
3456;"Time Warner Cable"
3457;"Oracle Corporation"
3458;"Volkswagen Group of America, Inc."
3459;"South Texas Blood and Tissue Center"
3462;"Data Communication Business Group"
3464;"Alabama Supercomputer Network"
3465;"J. B. Hunt Transport Inc."
3471;"DoD Network Information Center"
3472;"DoD Network Information Center"
3473;"DoD Network Information Center"
3474;"DoD Network Information Center"
3475;"Navy Network Information Center (NNIC)"
3477;"NOAA-Boulder"
3479;"Kennesaw State University"
3480;"Kennesaw State University"
3481;"State of Connecticut"
3482;"State of Montana"
3484;"Instituto Politecnico Nacional"
3485;"Fuji Capital Markets Corporation"
3488;"Information Systems Department, Japan Aerospace Exploration Agency"
3491;"PCCW Global, Inc."
3495;"US Senate"
3496;"Maraven"
3502;"Intelligence Network Online, Inc."
3503;"Software Maintenance Specialists, Inc."
3512;"Emory University"
3525;"Albertson's Inc."
3527;"National Institutes of Health"
3538;"DoD Network Information Center"
3541;"DoD Network Information Center"
3544;"DoD Network Information Center"
3548;"Centro de Investigacion y de EstudiosAvanzados del"
3549;"Level 3 Parent, LLC"
3550;"Ateneo de Manila University"
3551;"Universidad Tecnologica de Panama"
3555;"GRC International, Inc."
3557;"Internet Systems Consortium, Inc."
3561;"Savvis"
3562;"Sandia National Laboratories"
3565;"Greenville Hospital System"
3571;"Ernst & Young LLP"
3573;"Accenture LLP"
3576;"Hodgson Russ LLP"
3577;"Vestas American Wind Technology"
3580;"Planet Access Networks"
3582;"University of Oregon"
3583;"BPP Teknologi Networks Manager"
3584;"PubNIX, Inc."
3585;"TE Connectivity Corporation"
3586;"University of the West Indies"
3587;"American Airlines Incorporated"
3592;"Trinity College"
3593;"Frontier Communications of America, Inc."
3595;"Global Net Access, LLC"
3596;"Universidad Autonoma Metropolitana"
3597;"Fundación InnovaT"
3598;"Microsoft Corporation"
3599;"CDW Technologies Inc."
3601;"Interconnected Associates (IXA) Inc."
3602;"Rogers Communications Canada Inc."
3603;"University de Los Andes"
3605;"Guam Cablevision, LLC."
3606;"Connecticut College"
3608;"Korea Rural Community Corporation"
3613;"Dell, Inc."
3614;"Dell, Inc."
3620;"MCI Telecommunications"
3624;"Digineo GmbH"
3630;"NYSERNet"
3633;"Province of British Columbia"
3634;"Stephen F. Austin State University"
3635;"US Department of Commerce, Bureau of Economic Analysis"
3640;"CICESE"
3644;"Sprint"
3648;"Sprint"
3651;"Sprint"
3655;"General Electric Company"
3657;"TSS Systems Corporation"
3659;"Claremont University Consortium"
3660;"Berry Plastics Corporation"
3661;"The Chinese University of Hong Kong"
3662;"Joint Universities Computer Centre Limited"
3663;"NetNet"
3671;"SLAC National Accelerator Laboratory"
3676;"University of Iowa"
3677;"University of Iowa"
3680;"Novell, Inc."
3681;"Florida International University"
3685;"State University of New York at Buffalo"
3688;"Hospital for Special Surgery"
3693;"CITIC Telecom International CPC Limited"
3695;"SPM TELECOM"
3699;"Sense Networking"
3700;"Cloud 9 Internet, Inc."
3701;"Network for Education and Research in Oregon (NERO)"
3705;"U.S. Government Printing Office"
3707;"MCI Communications Services, Inc. d/b/a Verizon Business"
3709;"City of San Antonio"
3713;"ICF International"
3714;"Kentucky Educational Computing Network"
3719;"State of Connecticut Judicial Branch"
3720;"The Internet Mainstreet, Inc."
3724;"State of Alaska"
3725;"Sony Corporation of America"
3727;"Shrubbery Networks"
3728;"Onramp Access LLC"
3729;"Dell, Inc."
3730;"Aquinas College"
3733;"Levenfeld Pearlstein, LLC"
3734;"Santa Clara County Office of Education"
3736;"The Rabbit Network, Inc."
3737;"PenTeleData Inc."
3738;"State Street Bank and Trust Company"
3741;"IS"
3742;"Semaphore Corporation"
3743;"ARCELORMITTAL USA INC."
3745;"Dell Systems Corporation"
3748;"Electronics and Telecommunications Research Institute"
3754;"NYSERNet"
3755;"NYSERNet"
3756;"NYSERNet"
3758;"SingNet"
3761;"Acclaris Inc"
3762;"Instinet"
3763;"BELD"
3766;"Shared Services Canada"
3769;"Hearst Magazines, Inc."
3776;"Hawaii Online"
3777;"Haverford College"
3778;"Temple University"
3782;"Swarthmore College"
3783;"Allegheny Intermediate Unit"
3784;"Pohang University of Science and Technology"
3785;"Dr. Leonard's Healthcare Corp."
3786;"LG DACOM Corporation"
3790;"RADIOGRAFICA COSTARRICENSE"
3791;"Via Christi Health System, Inc."
3794;"Texas A&M University"
3795;"Bryn Mawr College"
3800;"Talent House, Inc."
3801;"Mikrotec Internet Services"
3804;"WorldLinx Telecommunications, Inc."
3807;"University of Montana"
3810;"Volkswagen Group of America, Inc."
3813;"Sogang University"
3816;"COLOMBIA TELECOMUNICACIONES S.A. ESP"
3817;"Freeside Communications, Inc."
3819;"ABC Legal Services"
3820;"American Center for Physics"
3825;"Korea Telecom"
